epoch,train_loss,val_loss,train_acc,val_acc
1,3.766797,3.170422,18.787366,42.578762
2,3.074326,2.68014,37.697982,53.678427
3,2.146944,1.726103,59.235481,76.023693
4,1.766315,1.557437,70.819153,80.556271
5,1.615545,1.477531,75.74364,82.650871
6,1.51296,1.420076,78.552639,84.067302
7,1.439019,1.382752,81.025,85.003005
8,1.390247,1.359224,82.459852,85.354966
9,1.349496,1.341533,83.686834,86.033136
10,1.305448,1.321449,84.970843,86.35076
11,1.281816,1.30695,85.732418,86.634046
12,1.254219,1.296727,86.578613,87.020345
13,1.236597,1.284677,87.053218,87.226371
14,1.21754,1.27853,87.555417,87.346553
15,1.206587,1.277901,87.971156,87.286462
16,1.197999,1.272578,88.508306,87.346553
17,1.183322,1.270419,88.894612,87.3208
18,1.179563,1.265537,88.854142,87.509657
19,1.184159,1.264163,88.747448,87.449566
20,1.18245,1.265699,89.032579,87.483904
